component;property;de;en;Dev-status
BasiGX.view.container.Redlining;config.data.drawPolygonsBtnText;Zeichne Flächen;Draw Polygons; -
BasiGX.view.container.Redlining;config.data.drawPostItBtnText;Zeichne Post-It;Draw Post-it; -
BasiGX.view.container.Redlining;config.data.copyObjectBtnText;Kopiere Objekt;Copy Object; -
BasiGX.view.container.Redlining;config.data.moveObjectBtnText;Verschiebe Objekt;Move Object; -
BasiGX.view.container.Redlining;config.data.modifyObjectBtnText;Modifiziere Objekt;Modify Object; -
BasiGX.view.container.Redlining;config.data.deleteObjectBtnText;Entferne Objekt;Delete Object; -
BasiGX.view.container.Redlining;config.data.openStyleBtnText;Styler;Styler; -
BasiGX.view.container.Redlining;config.data.stylerWindowTitle;Styler;Styler; -
BasiGX.view.container.Redlining;config.data.postItWindowTitle;Post-It Text;Enter the Post-its text; -
BasiGX.view.container.Redlining;config.data.postItWindowCreatePostItBtnText;Erstelle Post-It;Create Post-it; -
BasiGX.view.container.WfsSearch;config.data.searchTermTextFieldLabel;Suchbegriff;Search term; -
BasiGX.view.container.WfsSearch;config.data.searchResultGridTitle;Suchergebnisse;Search results; -
BasiGX.view.container.WfsSearch;config.data.resetBtnText;Zurücksetzen;Reset; -
BasiGX.view.form.AddWms;config.data.queryParamsFieldSetTitle;Anfrageparameter;Query parameters; -
BasiGX.view.form.AddWms;config.data.wmsUrlTextFieldLabel;WMS-URL;WMS-URL; -
BasiGX.view.form.AddWms;config.data.wmsVersionContainerFieldLabel;Version;Version; -
BasiGX.view.form.AddWms;config.data.availableLayesFieldSetTitle;Verfügbare Layer;Available layers; -
BasiGX.view.form.AddWms;config.data.resetBtnText;Zurücksetzen;Reset; -
BasiGX.view.form.AddWms;config.data.requestLayersBtnText;Verfügbare Layer abfragen;Request available layers; -
BasiGX.view.form.AddWms;config.data.addCheckedLayersBtnText;Ausgewählte Layer hinzufügen;Add selected layers; -
BasiGX.view.form.AddWms;config.data.errorIncompatibleWMS;Der angefragte WMS ist nicht kompatibel zur Anwendung;The requested WMS is not compatible with this application; -
BasiGX.view.form.AddWms;config.data.errorRequestFailed;Die angegebene URL konte nicht abgefragt werden;Could not reach the desired location; -
BasiGX.view.form.AddWms;config.data.errorCouldntParseResponse;Die erhaltene Antwort konnte nicht erfolgreich geparst werden;Error while reading the response send by the server; -
BasiGX.view.form.CoordinateTransform;config.data.coordFieldSetTitle;Koordinaten;Coordinates; -
BasiGX.view.form.CoordinateTransform;config.data.coordXFieldLabel;X-Koordinate;X-Coordinate; -
BasiGX.view.form.CoordinateTransform;config.data.coordYFieldLabel;Y-Koordinate;Y-Coordinate; -
BasiGX.view.form.CoordinateTransform;config.data.transformBtnText;Transformieren;Transform; -
BasiGX.view.form.CoordinateTransform;config.data.resetFormBtnText;Zurücksetzen;Reset; -
BasiGX.view.form.Permalink;config.data.refreshBtnText;Erneuern;Refresh; -
BasiGX.view.form.Print;config.data.title;Drucken;Print; -
BasiGX.view.form.Print;config.data.labelDpi;DPI;DPI; -
BasiGX.view.form.Print;config.data.printButtonSuffix;anfordern;request; -
BasiGX.view.form.Print;config.data.downloadButtonPrefix;Download;Download; -
BasiGX.view.form.Print;config.data.printFormat;pdf;pdf; -
BasiGX.view.form.Print;config.data.genericFieldSetTitle;Einstellungen;Settings; -
BasiGX.view.panel.GraphicPool;config.data.delButtonText;Löschen;Delete; -
BasiGX.view.panel.GraphicPool;config.data.okBtnText;OK;Ok; -
BasiGX.view.panel.GraphicPool;config.data.msgBoxNoElementSelectedText;Keine Grafik ausgewählt;No image selected; -
BasiGX.view.panel.GraphicPool;config.data.closeBtnText;Schließen;Close; -
BasiGX.view.panel.GraphicPool;config.data.chooseImageBtnText;Auswählen;Choose; -
